,20150FARI-Blue Rockfish-2009,ParentProject,Project,uniqueID,StationCode,StationName,LocationCode,CommonName,FinalID,mercury_tissue_name,mercury_tissue_prep,MatrixDisplay,mercury_analyte,mercury_result_type,mercury_result,mercury_unit,SampleYear,Region,TargetLatitude,TargetLongitude,moisture_tissue_name,moisture_tissue_prep,moisture_analyte,moisture_result_type,moisture_result,moisture_unit
120,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,205PCL212-Black Crappie-2016,205PCL212,Coyote Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.338,ug/g ww,2016,2,37.09221,-121.53711,NA,NA,NA,NA,NA,NA
121,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212-Black Crappie-2017,205PCL212,Coyote Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.195,ug/g ww,2017,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals,80.89,%
122,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,205PCL212-Bluegill-2016,205PCL212,Coyote Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.191,ug/g ww,2016,2,37.09221,-121.53711,NA,NA,NA,NA,NA,NA
123,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212-Bluegill-2017,205PCL212,Coyote Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.2125,ug/g ww,2017,2,37.09221,-121.53711,NA,NA,NA,NA,NA,NA
124,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PCL212-Common Carp-2008,205PCL212,Coyote Lake,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.408,ug/g ww,2008,2,37.09221,-121.53711,NA,NA,NA,NA,NA,NA
125,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,205PCL212-Common Carp-2016,205PCL212,Coyote Lake,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.2725,ug/g ww,2016,2,37.09221,-121.53711,NA,NA,NA,NA,NA,NA
126,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PLV218-Common Carp-2008,205PLV218,Lake Vasona,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.057,ug/g ww,2008,2,37.2439,-121.96902,NA,NA,NA,NA,NA,NA
127,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2015,205PLV218-Common Carp-2015,205PLV218,Lake Vasona,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.042,ug/g ww,2015,2,37.2439,-121.96902,NA,NA,NA,NA,NA,NA
128,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PSC048-Channel Catfish-2019,205PSC048,Stevens Creek Reservoir,NA,Channel Catfish,Ictalurus punctatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,1,ug/g ww,2019,2,37.2958,-122.0789,NA,NA,NA,NA,NA,NA
129,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PSC048-Common Carp-2007,205PSC048,Stevens Creek Reservoir,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.306,ug/g ww,2007,2,37.2958,-122.0789,NA,NA,NA,NA,NA,NA
130,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205TU0132-Sacramento Sucker-2007,205TU0132,Oiger Quarry Ponds,NA,Sacramento Sucker,Catostomus occidentalis,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.2855,ug/g ww,2007,2,37.18304,-121.69343,NA,NA,NA,NA,NA,NA
131,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,206PLC157-Bluegill-2021,206PLC157,Lake Chabot (Vallejo),NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.0785,ug/g ww,2021,2,38.13618,-122.23565,NA,NA,NA,NA,NA,NA
132,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206PLC157-Common Carp-2007,206PLC157,Lake Chabot (Vallejo),NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.139,ug/g ww,2007,2,38.13618,-122.23565,NA,NA,NA,NA,NA,NA
133,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206PSP205-Common Carp-2007,206PSP205,San Pablo Reservoir,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.131,ug/g ww,2007,2,37.92298363,-122.237903,NA,NA,NA,NA,NA,NA
134,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2023,206PSP205-Common Carp-2023,206PSP205,San Pablo Reservoir,NA,Common Carp,Cyprinus carpio,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.362,ug/g ww,2023,2,37.92298363,-122.237903,NA,NA,NA,NA,NA,NA
135,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,206STAFLK-Redear Sunfish-2016,206STAFLK,Stafford Lake,NA,Redear Sunfish,Lepomis microlophus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.1345,ug/g ww,2016,2,38.11392,-122.64416,NA,NA,NA,NA,NA,NA
136,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,207PLF001-Channel Catfish-2008,207PLF001,Lafayette Reservoir_BOG,NA,Channel Catfish,Ictalurus punctatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.074,ug/g ww,2008,2,37.88237,-122.14128,NA,NA,NA,NA,NA,NA
137,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI-Blue Rockfish-2009,20150FARI,Farallon Islands,NA,Blue Rockfish,Sebastes mystinus,NA,NA,tissue,NA,NA,NA,NA,2009,2,37.70235815,-123.0300293,fillet,Skin off,"Moisture, Total",Average of Individuals,76.52,%
138,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI-Olive Rockfish-2009,20150FARI,Farallon Islands,NA,Olive Rockfish,Sebastes serranoides,NA,NA,tissue,NA,NA,NA,NA,2009,2,37.70235815,-123.0300293,fillet,Skin off,"Moisture, Total",Average of Individuals,78.12,%
139,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY-Leopard shark-2020,20152TBAY,Tomales Bay,NA,Leopard shark,Triakis semifasciata,NA,NA,tissue,NA,NA,NA,NA,2020,2,38.187871,-122.927284,fillet,Skin off,"Moisture, Total",Average of Individuals,74.171111,%
140,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY-Pacific Common Thresher Shark-2020,20152TBAY,Tomales Bay,NA,Pacific Common Thresher Shark,Alopias vulpinus,NA,NA,tissue,NA,NA,NA,NA,2020,2,38.187871,-122.927284,fillet,Skin off,"Moisture, Total",Average of Individuals,72.933333,%
141,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC-Blue Rockfish-2009,20153NMRC,Northern Marin Coast,NA,Blue Rockfish,Sebastes mystinus,NA,NA,tissue,NA,NA,NA,NA,2009,2,38.21325308,-122.9961377,fillet,Skin off,"Moisture, Total",Average of Individuals,78.606667,%
142,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC-Olive Rockfish-2009,20153NMRC,Northern Marin Coast,NA,Olive Rockfish,Sebastes serranoides,NA,NA,tissue,NA,NA,NA,NA,2009,2,38.21325308,-122.9961377,fillet,Skin off,"Moisture, Total",Average of Individuals,78.255,%
143,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH-Black Perch-2009,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,NA,NA,tissue,NA,NA,NA,NA,2009,2,37.501376,-122.4783349,fillet,Skin off,"Moisture, Total",Average of Individuals,78.395,%
144,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH-California Halibut-2020,20246PPTH,Pillar Point Harbor,NA,California Halibut,Paralichthys californicus,NA,NA,tissue,NA,NA,NA,NA,2020,2,37.501376,-122.4783349,fillet,Skin off,"Moisture, Total",Average of Individuals,74.46,%
145,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC-Blue Rockfish-2009,20248PACC,Pacifica Coast,NA,Blue Rockfish,Sebastes mystinus,NA,NA,tissue,NA,NA,NA,NA,2009,2,37.60257954,-122.5360977,fillet,Skin off,"Moisture, Total",Average of Individuals,76.3,%
146,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20249SSFC-Barred Surfperch-2009,20249SSFC,San Francisco Coast,NA,Barred Surfperch,Amphistichus argenteus,NA,NA,tissue,NA,NA,NA,NA,2009,2,37.7364655,-122.5181055,fillet,Skin off,"Moisture, Total",Average of Individuals,78.752,%
