,20150FARI-Blue Rockfish-2009,ParentProject,Project,uniqueID,StationCode,StationName,LocationCode,CommonName,FinalID,mercury_tissue_name,mercury_tissue_prep,MatrixDisplay,mercury_analyte,mercury_result_type,mercury_result,mercury_unit,SampleYear,Region,TargetLatitude,TargetLongitude,moisture_tissue_name,moisture_tissue_prep,moisture_analyte,moisture_result_type,moisture_result,moisture_unit
25,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2010,20247HMBC-Blue Rockfish-2010,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.07,ug/g ww,2010,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,77.2,%
26,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC-Brown Rockfish-2020,20247HMBC,Half Moon Bay Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.2209,ug/g ww,2020,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,77.948,%
27,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC-Yellowtail Rockfish-2020,20247HMBC,Half Moon Bay Coast,NA,Yellowtail Rockfish,Sebastes flavidus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0565,ug/g ww,2020,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,76.065,%
28,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC-Blue Rockfish-2009,20248PACC,Pacifica Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.083333,ug/g ww,2009,2,37.60257954,-122.5360977,NA,NA,NA,NA,NA,NA
29,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20249SSFC-Barred Surfperch-2009,20249SSFC,San Francisco Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.1362,ug/g ww,2009,2,37.7364655,-122.5181055,NA,NA,NA,NA,NA,NA
30,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD-Largemouth Bass-2014,202LKMRCD,Lake Merced,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.389108,ug/g ww,2014,2,37.72728,-122.497184,fillet,Skin off,"Moisture, Total",Average of Individuals,79.08,%
31,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD-Rainbow Trout-2014,202LKMRCD,Lake Merced,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0231,ug/g ww,2014,2,37.72728,-122.497184,fillet,Skin off,"Moisture, Total",Average of Individuals,77.2,%
32,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,203TEMLAK-Largemouth Bass-2016,203TEMLAK,Lake Temescal,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.301394,ug/g ww,2016,2,37.846406,-122.230386,fillet,Skin off,"Moisture, Total",Average of Individuals,78.833636,%
33,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PDV169-Largemouth Bass-2008,204PDV169,Lake del Valle,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.539166,ug/g ww,2008,2,37.58954,-121.71446,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.7,%
34,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PDV169-Largemouth Bass-2021,204PDV169,Lake del Valle,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.595912,ug/g ww,2021,2,37.58954,-121.71446,fillet,Skin off,"Moisture, Total",Average of Individuals,78.971429,%
35,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PSC113-Largemouth Bass-2008,204PSC113,Shadow Cliffs Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.379901,ug/g ww,2008,2,37.66963,-121.83581,fillet,Skin off,"Moisture, Total",Average of Individuals L1,77.365455,%
36,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PSC113-Largemouth Bass-2021,204PSC113,Shadow Cliffs Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.42843,ug/g ww,2021,2,37.66963,-121.83581,fillet,Skin off,"Moisture, Total",Average of Individuals,79.099375,%
37,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0114-Largemouth Bass-2007,204TC0114,Lower Crystal Springs Reserv,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.75531,ug/g ww,2007,2,37.53133,-122.3713,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.727273,%
38,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204TC0114-Largemouth Bass-2021,204TC0114,Lower Crystal Springs Reserv,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.468369,ug/g ww,2021,2,37.53133,-122.3713,fillet,Skin off,"Moisture, Total",Average of Individuals,78.475714,%
39,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0122-Largemouth Bass-2007,204TC0122,Calaveras Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.762519,ug/g ww,2007,2,37.47051,-121.82042,fillet,Skin off,"Moisture, Total",Average of Individuals L1,79.761818,%
40,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0122-Largemouth Bass-2019,204TC0122,Calaveras Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.018057,ug/g ww,2019,2,37.47051,-121.82042,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.334286,%
41,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0122-Largemouth Bass-2019,204TC0122,Calaveras Reservoir,L2,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L2,0.918871,ug/g ww,2019,2,37.47051,-121.82042,fillet,Skin off,"Moisture, Total",Average of Individuals L2,76.567857,%
42,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0122-Largemouth Bass-2007,204TC0122,Calaveras Reservoir,L2,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm L2,0.396182,ug/g ww,2007,2,37.47051,-121.82042,fillet,Skin off,"Moisture, Total",Average of Individuals L2,79.401818,%
43,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0514-Largemouth Bass-2007,204TC0514,Lake Chabot (San Leandro)_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm L1,0.542429,ug/g ww,2007,2,37.72062,-122.10636,fillet,Skin off,"Moisture, Total",Average of Individuals L1,77.939091,%
44,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0514-Largemouth Bass-2019,204TC0514,Lake Chabot (San Leandro)_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.934413,ug/g ww,2019,2,37.72062,-122.10636,fillet,Skin off,"Moisture, Total",Average of Individuals,78.544286,%
45,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TL0138-Largemouth Bass-2007,204TL0138,Upper San Leandro Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm L1,1.144,ug/g ww,2007,2,37.77606,-122.11748,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.979091,%
46,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,204TL0138-Largemouth Bass-2017,204TL0138,Upper San Leandro Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.843724,ug/g ww,2017,2,37.77606,-122.11748,fillet,Skin off,"Moisture, Total",Average of Individuals,79.424545,%
47,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR-Largemouth Bass-2019,205ALMDNR,Almaden Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,2.711049,ug/g ww,2019,2,37.16245,-121.83106,fillet,Skin off,"Moisture, Total",Average of Individuals,77.81,%
48,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR-Redear Sunfish-2019,205ALMDNR,Almaden Reservoir,NA,Redear Sunfish,Lepomis microlophus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,1.11425,ug/g ww,2019,2,37.16245,-121.83106,fillet,Skin off,"Moisture, Total",Average of Individuals,81.53,%
49,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PAD016-Largemouth Bass-2007,205PAD016,Anderson Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.971322,ug/g ww,2007,2,37.16265,-121.61243,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.451818,%
50,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PAL221-Largemouth Bass-2008,205PAL221,Almaden Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,2.193198,ug/g ww,2008,2,37.241,-121.87131,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.711818,%
51,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212-Black Crappie-2017,205PCL212,Coyote Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.647,ug/g ww,2017,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals,80.89,%
52,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PCL212-Largemouth Bass-2008,205PCL212,Coyote Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.744178,ug/g ww,2008,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals L1,74.82,%
53,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,205PCL212-Largemouth Bass-2016,205PCL212,Coyote Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.67339,ug/g ww,2016,2,37.09221,-121.53711,fillet,Skin off,"Moisture, Total",Average of Individuals,78.100909,%
