Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PSC113,Shadow Cliffs Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.365455,%,2008,2,37.66963,-121.83581,339.18,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PSC113,Shadow Cliffs Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.099375,%,2021,2,37.66963,-121.83581,326.94,Passed,,16,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0114,Lower Crystal Springs Reserv,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.727273,%,2007,2,37.53133,-122.3713,380.27,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204TC0114,Lower Crystal Springs Reserv,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.475714,%,2021,2,37.53133,-122.3713,339.57,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0122,Calaveras Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,79.761818,%,2007,2,37.47051,-121.82042,401.18,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0122,Calaveras Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.334286,%,2019,2,37.47051,-121.82042,357.21,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0122,Calaveras Reservoir,L2,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L2,79.401818,%,2007,2,37.47051,-121.82042,405.27,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0122,Calaveras Reservoir,L2,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L2,76.567857,%,2019,2,37.47051,-121.82042,365.64,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0514,Lake Chabot (San Leandro)_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.939091,%,2007,2,37.72062,-122.10636,332.64,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0514,Lake Chabot (San Leandro)_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.544286,%,2019,2,37.72062,-122.10636,338.07,Passed,,14,0,
