Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PLV218,Lake Vasona,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm L1,0.179125,ug/g ww,2008,2,37.2439,-121.96902,334.64,Passed,,8,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2015,205PLV218,Lake Vasona,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.139382,ug/g ww,2015,2,37.2439,-121.96902,350,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lake Vasona Bioaccumulation Study 2011,205PLV218,Lake Vasona,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.169967,ug/g ww,2011,2,37.2439,-121.96902,350,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PSC048,Stevens Creek Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.756086,ug/g ww,2007,2,37.2958,-122.0789,350,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PSC048,Stevens Creek Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals >=305 mm,0.74,ug/g ww,2019,2,37.2958,-122.0789,347.57,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,1.0344,ug/g ww,2019,2,37.1925,-121.8727,128.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,4.275,ug/g ww,2019,2,37.1925,-121.8727,350,Passed,,15,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,3.815,ug/g ww,2019,2,37.1925,-121.8727,252.5,Passed,,4,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205TU0132,Oiger Quarry Ponds,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.407893,ug/g ww,2007,2,37.18304,-121.69343,350,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205TU0132,Oiger Quarry Ponds,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.457476,ug/g ww,2019,2,37.18304,-121.69343,350,Passed,,14,0,
